sID	Prevention_Type	First_arrival	justification	selection	Laptop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
180	stop	left_first	The new male started to move away from the female after the left male hypnotised the female, the movement of the right male had no impact on this movement.	1	1	1	38	1	-99	371
184	stop	left_first	Only one male is needed for the seductive purple colour to disappear	1	1	1	59	2	-99	386
188	stop	left_first	From the instructions given it is clear that one male is powerful enough to prevent the female from turning purple. It's also clear in the animation that the rival male begins to move away once the female turns brown, which is before the male on the right has even gotten close to the female's eyes.	1	1	1	24	2	none	501
194	stop	left_first	The female squid turned from purple to brown as soon as the left male squid turned green. By the time the right male squid turned green, the female squid had already turned brown and the rival male squid had begun to swim away disinterestedly.	1	1	1	32	2	None	302
201	stop	left_first	The right male turned green later. However the female turned brown before the right male turned green. hence it must have been the left male that turned her brown to stop her attracting the rival male	1	1	1	18	1	-99	629
210	stop	left_first	The left male saw the purple attract signal from the female and responded to it by approaching the female and flashing green.	1	1	1	61	1	-99	686
211	stop	left_first	The female turned brown after the left male turned green	1	1	1	24	2	-99	408
214	stop	left_first	The male who entered the space left the female alone after the left male came near here and turned green, so that's why I came to the conclusion it wasn't both of them that had this effect (and the right male came later, as the new male was leaving her).	1	1	1	28	2	-99	1590
219	stop	left_first	The right male made the female go to her natural colour by turning green.  When the left one got there she had already gone from purple to brown, natural column	1	1	1	56	1	-99	468
222	stop	left_first	I am going by twhat happened in the animation. The two small males stopped the female from shining purple.	3	1	1	25	2	-99	542
230	stop	left_first	The rival male approached the female, the left male squid saw this and quickly approached the female, stood in front of her left eye and hypnotized her, she then turned her brown colour, prompting the rival male to leave, when the rival male left the right male approached and turned green.	1	1	1	25	2	-99	985
231	stop	left_first	The rival male appeared and swam towards the female, the female changed to purple to attract the rival male. The female's males spotted this, the left male swam to the females eye and changed green so she would turn back to brown and no longer be able to attract the rival male.	1	1	1	28	1	-99	460
236	stop	left_first	The rival male started to move upwards as soon as the left male had come down and had turned green in front of her eye. She changed colour and became unattractive before the right male was even there.	1	1	1	46	2	-99	719
240	stop	left_first	The female squid turned brown from purple, with just the male squid on the left turning green. Then the other male squid turned green and the male she was trying to seduce dissapeared.	1	1	1	20	2	-99	371
248	stop	left_first	The male in the middle (the rival) came down and the female turned purple. The male on the left having notices this, came down and turned green which made the female turn brown. The male in the middle started to leave at which point the male on the right joined the other male and also turned green.	1	1	1	44	1	-99	478
249	stop	left_first	The left male got there first and as soon as he got to her eye and turned green, she turned brown	1	1	1	31	2	-99	281
76	hinder	right_first	Even though it takes just one male shining green to keep a female brown, it wasn't just one male shining green that stopped the third male from joining but it was both males shining green that stopped the third male.	3	1	1	51	2	-99	479
79	hinder	right_first	I watched the video carefully and answered the question accordingly	3	1	1	23	2	-99	268
81	hinder	right_first	he was first to hypnotise her so that enough to stop her turning purple	1	1	1	35	1	-99	255
83	hinder	right_first	both males changed colour to green to prevent the female turning purple to attract a rival	3	1	1	58	2	-99	514
89	hinder	right_first	The animation showed both males swimming down and turning green stopping the female from turning purple. A third male swam down near to the female but left when she didn't turn purple.	3	1	1	76	1	-99	603
92	hinder	right_first	Thought I saw both going green so clicked that	3	1	1	30	1	-99	179
98	hinder	right_first	The two males were next to female and both shining green, so they were both hypnotizing her to prevent her from turning purple.	3	1	1	43	2	-99	313
102	hinder	right_first	Both male squids prevented the female squid from properly seeing the rival male squid	3	1	1	41	1	-99	761
105	hinder	right_first	The female was busy with two green males so the 3rd didnt get a look in!	3	1	1	39	1	N/A	419
111	hinder	right_first	I just made a guess.  I was not able to view the video, as there was no  start  button.    I was hoping to bypass the error and perhaps the study fault would somehow be rectified, and I could progress.  Unfortunately it looks like I may need to return the study, or submit with  no code	2	1	1	64	2	There was no start button to press to view the second video.	1095
121	hinder	right_first	It was an interesting survey. I saw the males acting jealously towards the female	1	1	1	37	2	-99	721
122	hinder	right_first	Both males turned green in front of the females eyes, stopping her from turning the purple colour.	3	1	1	36	1	-99	421
125	hinder	right_first	the right male swam first over the females eye then the left followed and then the other male came down	3	1	1	57	2	-99	736
134	hinder	right_first	Because as I observed the scenario both males came onto the female and when the other male came ,the female did not turn purple.	3	1	1	31	2	No ,I did not have any issues	556
143	hinder	right_first	Both the males approached their hosen female and shined green. So when the third male approached it was either the left or right male, or a combination of the two, that prevented her from turning purple to attract the other male.	3	1	1	45	1	-99	356
145	hinder	right_first	The right male was the first of the two male squid to move by her and turn green, indicating he spotted the rival male first. The female does not need both males to turn green in front of her eyes to be hypnotised into not changing to her 'seductive' purple colour.	2	1	1	24	2	-99	369
148	hinder	right_first	The right male stopped the female from turning purple and then so did the left male as she was still brown. So they both did even though the right was first. However their was no rival male in sight	3	1	1	41	1	-99	881
155	hinder	right_first	Both makes work together as a team	3	1	1	27	2	-99	335
156	hinder	right_first	The right male squid appeared in front of the female squid's eye first. You only need one male squid turning green to hypnotise the female and stope her from turning purple.	2	1	1	27	2	-99	552
164	hinder	right_first	The two males turned green as they saw a potential rival male approach, so the female squid stayed brown and the rival male arrived and left.	3	1	1	32	1	-99	318
166	hinder	right_first	It was obvious when the third male left.	3	1	1	33	1	-99	597
168	hinder	right_first	Both the left and right male turned green next to the female squid in order to prevent her from turning purple. This meant when the rival squid appeared he was not attracted to the female squid	3	1	1	21	1	-99	355
171	hinder	right_first	Both males approached the female and turned on their green colours.  The third male then approached but the female remained brown due to the green colour of her males.	3	1	1	37	2	-99	470
181	hinder	right_first	the female never changed form so it appeared that the first and second male both flashing green caused this to happen	3	1	1	33	1	-99	248
183	hinder	right_first	I said that both males prevented the female from turning purple as although they did this one at a time, they were both shining green by the time a third male entered the animation and then ultimately left again with  the female remaining her neutral brown colour.	3	1	1	42	1	-99	581
186	hinder	right_first	Both of the males swam in front of her eyes and turned green so it is impossible to tell which of the two caused the female to stay brown, or if it was the combination of both.	3	1	1	22	1	-99	356
195	hinder	right_first	the male squid's travelled towards the female squid, they both turned green, thus, hypnotising the female squid. Then another male squid came towards the female squid but ended up leaving as the female squid did not interact with him.	3	1	1	23	2	-99	342
196	hinder	right_first	fully watched video and survey	3	1	1	36	1	-99	736
200	hinder	right_first	there wasnt a rating question? but i selected the answer that i saw unfold in front of me in the animation	3	1	1	24	1	needed to go back but could not had to restart the survey	138
203	hinder	right_first	both males were green and present so we dont know which one caused the effect	3	1	1	23	2	-99	228
208	hinder	right_first	I meant to pick  right one . The right one came first, so he is responsible for preventing the female from turning purple because it only takes one male to hypnotize the female so she won't turn purple, and the right one was first.	3	1	1	24	1	N/A.	377
212	hinder	right_first	Even though only one male was needed to keep the female turning purple, both were present so they both got credit for keeping the female from turning purple	3	1	1	23	2	-99	419
217	hinder	right_first	Although one male is powerful enough to hinder the female by turning green in this case both males turned green before the rival male appeared. So it can be said that both males stopped the female from turning purple and interacting the rival male.	3	1	1	54	1	-99	603
220	hinder	right_first	Both males swam in front of the female's eyes to prevent her from changing colour to attract the rival male. The rival male still swam down but she was oblivious to him	3	1	1	58	1	none	432
225	hinder	right_first	When the left male moved close to her and turned green, it was enough to prevent the female from attracting a rival male. Eventually, both males were close and green, so she had no chance to become purple by the time the rival male arrived	3	1	1	35	2	none	587
229	hinder	right_first	I believe both males shined in green to prevent the female from turning purple and attracting other mates.	3	1	1	21	1	-99	344
232	hinder	right_first	Id say that both males caused the female to remain brown due to the fact that they are both there to turn green, since when the third male arrived both males were already green and close to the female I cannot be confident which caused the effect of turning the female brown.	3	1	1	19	1	-99	365
237	hinder	right_first	the two males probably realized the rival male from a distance and  made their way to their large female. they stood next to her right and left large eye respectively and turned green to hypnotize her. when the rival male got to her she did not turn purple instead remained shining in her unattractive brown colour.	3	1	1	20	2	-99	796
241	hinder	right_first	both males were intent on blocking the female	3	1	1	68	2	Good  - no technical problems	428
251	hinder	right_first	Because both males were next to her when the rival male came down then it was both of their interaction which caused the female to stay brown	3	1	1	33	1	-99	479
69	stop	right_first	I followed the rules and answered the question correclty	2	1	1	37	2	-99	280
71	stop	right_first	the right male moved first and him turning screen immediately resulted in the female turning brown and the rival make retreating before the left male had even turned green.	2	1	1	20	2	-99	602
77	stop	right_first	As the new male approached the female, the female turned purple. This caused the right hand male to approach the female and turned green. This caused the female to revert to her brown colour. The left hand male then approached the brown female and turned green. This had no impact on the female as she was already brown.	2	1	1	32	2	-99	439
80	stop	right_first	I don't know what you mean by  rating     The right male in the animation came down and stopped the female from shining purple which drove of the rival male and that's what I answered.	2	1	1	28	1	-99	310
82	stop	right_first	only one regular male needs to turn green to distract the female and make her turn brown, so when the first one went up to her she turned purple, but then the second regular male came too but it didnt make a difference	2	1	1	20	3	-99	484
94	stop	right_first	Because the right male came forward towards the eye of the female squid and turned green then she turned brown and the rival male left. The left male came over after she had already turned brown and the rival male had left.	2	1	1	22	2	-99	389
99	stop	right_first	The right male turned green and approached the female, making her turn brown. Then the left male turned green and approached.	2	1	1	28	2	-99	286
103	stop	right_first	The rival male left after the right male squid attracted the female squid by turning green.	2	1	1	22	2	-99	278
107	stop	right_first	The animation shows it all? The male squid from the right hand side came down and turned green, the female squid turned from purple to brown and the random squid that was not in the trio went away.	2	1	1	26	2	-99	482
108	stop	right_first	When the male on the right flashed green, the female went from purple to brown so that the male in the middle would go away.	2	1	1	18	1	-99	491
112	stop	right_first	it seemed that the right hand one intervened first, and it worked with just the one of them turning green, so although the left one soon joined in later, it was really the right one who stopped the flirting	2	1	1	21	1	-99	1130
119	stop	right_first	The rival male arrived and the female tried to attract him by turning Purple, at this point the  right male from the triad approach and flashed green so the female turned back to her usual brown colour. Although the left male arrived and flashed green aswell it was enough for just one of the males to have done so.	2	1	1	55	2	-99	482
123	stop	right_first	When the male on the right came towards the squid, she changed from her attractive purple colour to her usual dull brown colour and then when the one on the left joined in, the rival male above her went away	2	1	1	29	1	-99	551
124	stop	right_first	The rival male swam down and attracted the females attention, turning her purple, then the right male spotted this and swam in front of the females view to turn her back to neutral brown, the rival began to swim away as the other left male swam down to distract the female also, but the right male was enough to distract	2	1	1	27	2	-99	375
131	stop	right_first	The female turned brown when the first male flashed green	2	1	1	26	2	-99	362
144	stop	right_first	The right male moved first to defend his female partner	2	1	1	60	1	-99	468
146	stop	right_first	The female clearly changed colour once the right male swam in front of her. This was before the left male appeared.	2	1	1	27	1	NA	423
150	stop	right_first	Because it only takes one male to stop the female from glowing purple and attracting the attention of others, I went with the right male as he was the first one to swim over and turn her colour back to brown.	2	1	1	33	1	-99	1013
157	stop	right_first	I reported what i observed happening. One male swam on sat on the left, she turned brown, the other male swam away, the second male of her triad also swam and sat on her right	1	1	1	42	2	-99	316
160	stop	right_first	Both males forced the female to deter a third male which turned away	3	1	1	62	1	No	952
167	stop	right_first	I almost clicked the second option as, at first, it only took the left male turning green to make the female turn back brown. But in the end both males turned green so i felt that best described what happened	3	1	1	41	1	-99	666
175	stop	right_first	Once the right male turned green and poistioned himself infront of the large females right eye she turned brown and was therefore no longer attractive to the new small male	2	1	1	35	1	-99	1163
179	stop	right_first	The female turned brown after the intervention of the right hand male, and she was already brown before the left male interceded	2	1	1	51	2	-99	428
182	stop	right_first	The right male started shining green which stopped the female shining purple. By the time the left male had got close enough and also started shining green, the female had already stopped shining purple.	2	1	1	29	1	N/A	439
190	stop	right_first	A 'foreign' male approached the female. The female turned purple and attracted the male towards her. The right male approached the female's eye and upon turning green, the female returned to her brown colour and the 'foreign' male started to move away from the female. The left male also approached and turned green, but there was no need for him to do so.	2	1	1	25	2	-99	668
191	stop	right_first	i just read the instructions, watched the animation then chose the option that described what happened. I haven't given a rating?	2	1	1	32	2	-99	354
202	stop	right_first	After the right male turned green, the female reverted to brown.	2	1	1	32	1	-99	211
204	stop	right_first	The right male came down and when he blocked her right eye she turned from purple to brown so therefore he was the one who made her turn brown, not both of them.	2	1	1	25	2	-99	877
205	stop	right_first	Because the males have to swim directly in front of one of the female’s eyes and turn green in order to affect her colour to return to brown. Only one male is required to do this, and the right male was in position to do so.	2	1	1	33	1	-99	382
207	stop	right_first	The male on the right swam towards the purple female and shone green. Then the female turned brown and the rival mate started to swim away. Then the second, left, male swam towards the female and also turned green.	2	1	1	19	2	-99	497
213	stop	right_first	It only needed one male to make the female return to the unattractive brown. The right male was first to turn green, so although the left male later arrived and turned green, his action was not required to prevent the new male being attracted to the female.	2	1	1	62	2	-99	441
221	stop	right_first	After the right male stood in front of her eye, that was enough to  make her turn brown	2	1	1	49	2	no	343
226	stop	right_first	What I actually saw was that the females çolor  changed purple the moment the 2nd male sat before her eyes.	3	1	1	57	1	None	1106
227	stop	right_first	A new male arrived on the scene and the female turned purple to attract it. Both males then surrounded the female and turned green to entrance the female and repel the new male.	3	1	1	41	1	-99	3834
233	stop	right_first	The one on the right got to her first once she turned purple and was able to turn her brown again, deterring the rival male.	2	1	1	20	2	-99	320
242	stop	right_first	The right male went down first and she turned brown after he turned green	2	1	1	20	1	-99	275
243	stop	right_first	the female attracted the third squid male and turned purple however when the right male came closer to the female and hypnotised her by turning green, and the female squid quickly changed back to her regular brown colour. the left squid came closer and also turned on his green light to hypnotise the female.	2	1	1	43	2	-99	524
244	stop	right_first	the female was purple but as soon as the male on the right touched her and went green she was then brown,  then the male from the left joined her and turned green and she remained brown	2	1	1	51	2	no	455
245	stop	right_first	The female squid saw another male squid and turned purple. When her regular two male squids saw this, the right one quickly swam over and turned green. Though the left one followed, the right one was enough to make the strange male squid leave first.	2	1	1	22	2	-99	265
247	stop	right_first	The animation had two male shining in green colour.	3	1	1	34	2	-99	857
