sID	Prevention_Area	Order	justification	selection	Laptop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
33	area1	right_first	The male on the right shined green and reached near the female first however the male on the left shined green and also reached near the female before the rival male to prevent the female shining purple so that is why both of the males.	3	1	1	29	2	-99	1455
39	area1	right_first	Both males reached the #1 area, and so stopping the female from changing colour	3	1	1	60	1	-99	525
43	area1	right_first	Both of them prevented it because they were both in the inner circle before the approaching male. If only one of them was in the inner circle before that they would be the sole preventer of the squid turning purple.	3	1	1	21	3	-99	578
44	area1	right_first	Both of the males turned green and appeared within the 1 circle before the new approaching male reached circle 1.	3	1	1	33	2	-99	472
55	area1	right_first	Both of the males were green and approached the female and it stayed the same colour and when the other one arrived the colour did not change to purple.	3	1	1	34	1	-99	236
56	area1	right_first	The green males both reached the females inner circle prior to the other male arrival, hence distracting the female and stopping her from changing to her purple form.	3	1	1	20	1	-99	442
57	area1	right_first	I was told that one male was enough to stop the female from reacting. Although the left male gets close to the female before the rival does, I thought the right male would have already done the job.	2	1	1	34	2	-99	641
61	area1	right_first	I think to effectively keep the female from turning purple, both males' green colours need to shone. If the the Right male's green colour alone prevented the Female from turning purple and attracting the stranger then the left male would not need to rush in the manner he did to shine its green colour as well.	3	1	1	39	2	none	1575
5	area2	right_first	as soon as the male on the right become aware of the strange male it changed to green in colour and immediately moved close to the female to keep her distracted. the male on the left only did the same once the strange male had crossed the outer limit of the second circle.	2	1	1	42	2	-99	394
7	area2	right_first	As the rival male approached the male on the right shone green and approaches the outer circle, it passed through before the rival male which activated the female to change from purple to brown.	2	1	1	27	1	-99	325
17	area2	right_first	The right male moved in as soon as it saw the rival male. The right male crossed the outer circle before the rival male did, hypnotizing the female before the rival male entered the outer circle. This prevents her from activating her seductive flourish when the rival enters the outer circle. The left male only acts after the rival male had crossed the outer circle, but at that point the right male had already begun hypnotizing the female. As only one male is needed to hypnotize, the left male wasn't contributing to the situation, at least beyond what the right male was already doing.	2	1	1	25	1	-99	634
22	area2	right_first	The right male entered the outer circle first thus stopping the female turning purple. The next squid to enter the outer circle was the rival male so by the time the left male entered the outer circle the right male had already prevented the female from turning purple.	2	1	1	33	2	none	607
24	area2	right_first	The right hand side male moved first and turned green to stop the female from changing to purple and attracting a new male.	2	1	1	35	1	-99	380
29	area2	right_first	The right squid reacted before the female and so prevented her from changing colour, the left didn't react till the rival passed the second circle.	2	1	1	27	2	-99	459
35	area2	right_first	The first octopus entered the radius before the middle octopus came close enough for the female to turn purple	2	1	1	29	1	-99	428
40	area2	right_first	The first male shining green is strong enough to stop the female from turning purple, the second male shining green made no difference	2	1	1	28	2	None	415
41	area2	right_first	Because the right male moved towards the female first and this was enough to stop her changing to the purple colour	2	1	1	29	2	-99	367
50	area2	right_first	I believe as the right male had already managed to stop the female from switching colour the left male has no effect there after in the encounter. Therefore the right male was solely responsible for the female's colour not switching	2	1	1	23	1	-99	552
51	area2	right_first	The right male went first and stopped her geing purple, but the left male joined in before the random male got to her, so could have stopped her too.	3	1	1	42	2	-99	346
63	area2	right_first	Because in this screen female squid didn't change its colour.	3	1	1	39	1	No	570
