sID	danger	order	coma_check_a	coma_check_na	complication_check_a	complication_check_na	danger_strength	justification_a	justification_na	preventive_strength	singular_query_a	singular_query_na	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
480	strong	attack_first	1	1	2	1	11	Taking the other individuals who did have complications but were on thinners into consideration because none of them fell into a coma after.	Because there was no complications, every person who didn't have complications didn't go into a coma but I cannot say whether it helped or not as not enough data.	11	11	6	1	31	2	-99	540
487	strong	attack_first	1	1	2	1	11	Without the results of the other patients in the study it wouldnt be possible to conclude that the patient did not lapse into a coma due to the efficacy of the blood thinner. A single patient's result without the context of the results of the other 239 patients is not enough to reach a satisfactory conclusion either way.	Without the context of the other results its impossible to see if any patients lapsed into a coma without a complication occurring - with or without the blood thinner. Because of this it wouldnt be possible to conclude that the blood thinner he received played no part in his not lapsing into a coma; despite how unlikely it might seem that the patient would lapse into a coma following no complications, if this is a finding based on results alone and not human opinion of what is likely or unlikely, without the whole study it cannot be conclusive.	11	6	6	1	38	2	-99	1495
492	strong	attack_first	1	1	2	1	11	I would want to study this a bit more - the blood thinner looks promising, but it would be good to have more data, because there could be other factors. The test was divided between clinics - so perhaps there are environment differences (either at the clinic or more broadly in the patients' lives) or differences in the care provided by doctors.	Lack of data - it could be that the patient would have been just fine without it!	11	8	6	1	37	2	-99	959
503	strong	attack_first	1	1	2	1	4	I think that there was no definite reason that they would fall into a coma but I think it supported them and gave them less chance that they would have,	It could have purely been by chance and maybe due to the surgeon they had.	11	9	6	1	36	2	-99	859
509	strong	attack_first	1	1	2	1	11	Because there is less patients that fall into a permanent coma	It shows that they took the tinner and no issues	6	9	9	1	34	1	-99	581
511	strong	attack_first	1	1	2	1	3	because of the twin study using the placebo combined with the fact there was a complication.	The patient did receive the blood thinner but there was also no complication with the doctor and the surgery, however the presence of the blood thinner is shown to reduce the risk of any potential complications.	1	10	8	1	33	1	-99	590
518	strong	attack_first	1	1	2	1	11	Yes	Yes	10	9	9	1	30	2	No	361
531	strong	attack_first	1	1	2	1	5	As in the placebo group, everyone who had the complication then fell into a coma, so this tells me that #53 didn't because of the blood thinner.	The patient didn't have the complication therefore couldn't fall into a coma, the blood thinner only plays a part when the complication occurs.	11	10	1	1	51	2	Nope all good.	567
538	strong	attack_first	1	1	2	1	6	The drug seemed to stop patients lapsing into a coma.	The complication did not occur during the surgery so it is unlikely they would fall into a coma.	11	9	3	1	28	2	-99	883
558	strong	attack_first	1	1	2	1	11	No patient who has been treated with blood thinning has fallen into a permanent coma. Therefore, the blood thinners are 100% effective in preventing this issue. However, since the complication still occurred in some cases - it leads me believe that the incorrect dose of blood thinning medication was used on these patients, or perhaps they have preexisting conditions related to their blood, which the doctors did not factor. In any case, it still does not change the fact that the blood thinning medication prevents patients falling into comas.	I'm unsure whether the blood thinning treatment is used to prevent the complication from occurring, or to prevent the complication from leading to a permanent coma.     If the treatment is used to prevent the complication from leading to a coma; then the blood thinners did not help this patient, as they did not give any complications.     If the blood thinning is used to prevent a complication; then the blood thinning is what gave this patient a successful surgery.	11	11	6	1	25	1	-99	1631
571	strong	attack_first	1	1	2	1	10	I believe when it comes to complex human experiments there are always outside factors (specifically for this trial the subjects biology and such) that can affect the outcome. I am confident that if looking at the experiment objectively and not taking into account any of these other factors that is was the blood thinners that prevented this patient from going into a coma because all subjects from the placebo group who experienced the complication went into a coma. Adversely, all subjects who received the blood thinner and experienced the complication did not go into a coma. I believe it is still inherently correlation but with replication could find causation.	The patient did not experience the complication, making it almost impossible to suggest that they did not go into a coma because of the blood thinner. They didn't go into a coma because the complication did not occur as the occurrence of said complication is needed to measure the outcome.	11	10	1	1	20	2	-99	1163
583	strong	attack_first	1	1	2	1	6	without alot more research we dont know if it was because of the blood thinner or not, but it seems that blood thinner does stop people going into comas	as far as i can tell the thinner does not stop the surgeon causing the complication, only the com not happening if the complication occurs.	11	8	2	1	42	2	n/a	657
590	strong	attack_first	1	1	2	1	11	because every patient in the study that received the blood thinner and had a complication avoided a permanent coma so this patient is no different	it can't be certain as the patient didn't have a complication so the blood thinner didn't neccessarily help	11	10	4	1	18	2	-99	440
597	strong	attack_first	1	1	2	1	4	According to statistics, blood thinner help to avoid coma	because if the blook thinner.	11	11	11	1	34	1	No.	769
606	strong	attack_first	1	1	2	1	4	He more than likely didnt fall into a coma because of the blood thinner	Cannot be 100% certain	2	9	10	1	63	1	-99	615
611	strong	attack_first	1	1	2	1	7	Looking at the results, from the placebo case study all patients who had the complication did fall into a coma in comparison to those in group A who despite having the complication did not. I still cannot say it certainly was because of the blood thinner as it's a small number in the study.	As the subject did not have the complication it is hard to feel strongly either way.	10	9	6	1	38	2	-99	926
619	strong	attack_first	1	1	2	1	11	everyone in the sample with the blood thinner who had the complication did avoid falling into a coma, however the sample size could still be small so we cannot be 100% certain.	Since the complication did not occur, and we know from the other clinic B that patients without the complication also did not fall into a coma, its more likely that the outcome for patient 55 is NOT due to any blood thinners.	11	10	5	1	27	1	-99	339
626	strong	attack_first	1	1	2	1	3	100% of participants that took the blood thinner before surgery did not lapse into a coma if the complication occurred. Based on this experiment alone I have to assume the blood thinner is 100% effective.	This patient did not experience a complication during surgery and therefore a blood thinner would have made no difference.	11	11	1	1	21	2	-99	458
629	strong	attack_first	1	1	2	1	11	Because everyone that suffered the complication but did not have the blood thinner went into a coma, and everyone that suffered the complication with the blood thinner didn't go into a coma	They didn't suffer the complication so it wouldn't have mattered if they  had blood thinner as they didn't lapse into coma	11	11	3	1	35	2	-99	649
639	strong	attack_first	1	1	2	1	11	I cannot affirm that the patient avoided falling into a coma as a result of taking the blood thinners because the patient experienced complications during the surgery. I also cannot affirm that the taking of the blood thinners did not play a role in the patient avoiding the coma. Had the patient not experienced any complications, I would be able to come to the conclusion that he/she avoided the permanent coma due to his/her taking of the blood thinners.	I am confident that taking the blood thinners helped the patient avoid falling into a coma because the patient did not experience any complications during the surgery and he/she did not fall into a coma. This means that taking the blood thinners led to the surgery going perfectly.	11	6	11	1	21	1	N/A	1515
644	strong	attack_first	1	1	2	1	5	The fact that 100% of people who received the surgery and had the complication and had the blood thinner administered before the surgery did not fall into a coma at all points to the effectiveness of the blood thinner prevention working. I chose 90% sure because I suppose there is always a margin of error, or surgeon skill level variances, etc. The overwhelming evidence presented to me points to the fact that the blood thinner does work in preventing comas during this surgery.	The confidence level is lower because the complication did not occur, therefore the blood thinner hypothesis was not really tested in the same way as the previous question. However, the evidence still suggests that the blood thinner worked as a preventative in my opinion.	11	10	8	1	28	1	-99	745
647	strong	attack_first	1	1	2	1	9	All patients who received blood thinner did not lapse in to a coma. In addition, all patients with thinner and complication were prevented from coma (all green circles irrespective of complication occurring).  However, for every complication without thinner, the patient experienced coma (every grey circle has a red ring, suggesting complication always led to coma), there are no occurrences of complication without coma, or no complication with coma when no thinner is given.  This appears to suggest thinner is a good preventative measure in case the complication occurs.  I did not choose certain because of the limited sample size - more data would increase certainty (if the results are repeated!)	Probably not, the complication did not occur so coma is thought unlikely to follow. However, a good protection measure is to take the thinner  just in case	11	10	3	1	41	2	None	847
651	strong	attack_first	1	1	2	1	10	All 120 patients who received the blood thinner either did or did not have the complication occur however they did not lapse into a coma.	This patient did not have the complication occur, which is likely why they did not lapse into coma. However we cannot say it is because of the blood thinner that the complication did not occur.	11	11	6	1	29	1	-99	541
656	strong	attack_first	1	1	2	1	9	The results do look promising, however, the sample size is quite small therefore a larger sample size would increase my confidence in the results.	The complication did not occur therefore without the blood thinner the patient would still have been fine based on previous experiences with this procedure. I'm quite confident with my answer	10	9	2	1	21	2	-99	1973
658	strong	attack_first	1	1	2	1	1	Because if they didnt take the blood thinner, as seen from Clinic B, they all turned out into a full complication.	There were no complications so hard to tell	11	11	6	1	21	2	-99	423
659	strong	attack_first	1	1	2	1	11	It is more than likely that the blood thinner caused the result however as the test sample is relatively small it is hard to be 100% sure	Hard to be sure as the complication did not arise therefore the blood thinner may or may not have played a role	11	10	6	1	61	2	N/A	763
674	strong	attack_first	1	1	2	1	7	Because the sample group is too small	The patient avoided coma because the surgery was successful	8	6	1	1	35	1	-99	498
683	strong	attack_first	1	1	2	1	7	There could have been other underlying conditions that could also cause a complication to occur  with or without the blood thinner but it seems that with the blood thinner, they are able to come up with a way to address the complication with a higher percentage of survival	If all things are equal and the patient had not underlying conditions apart from the brain condition, the blood thinner is a solution to stop the lapse into a permanent coma after surgery	9	8	10	1	26	2	-99	880
686	strong	attack_first	1	1	2	1	6	You can't apply causation to something that just shows correlation - there could be other factors at play	Can't apply causation to something that shows correlation. This could have happened without the blood thinner too.	10	9	8	1	22	2	-99	265
702	strong	attack_first	1	1	2	1	11	This is because the patient recieved the blood thinner	There was no complication so it is impossible to say	11	11	1	1	18	1	-99	259
705	strong	attack_first	1	1	2	1	2	It’s very hard to know ok this small sample whether the patient didn’t fall into a coma because of the blood thinner they were given. I feel more research would be required before a higher confidence level can be awarded.	This person did not have the complication at all and did not fall into a coma. Again more research is required in my opinion	9	6	6	1	44	1	No there weren’t any technical issues experienced	886
717	strong	attack_first	1	1	2	1	6	I am completely uncertain as to whether the blood thinner or complications contribute to a coma or prevention of a coma. I do not rely on data like this to form opinions. I do not trust small samples. I also do not trust medications.	Again for the reasons previously stated, I am unable to make a certain judgment about the effects of blood thinners or complications. I do not trust this type of data or these types of procedures.	6	6	6	1	33	2	-99	1051
722	strong	attack_first	1	1	2	1	11	In 100% of cases where a patient received the blood thinner, they did not lapse into a permanent coma despite the complication occurring. Coupled with the results of the placebo group where the exact opposite is true, I conclude that the blood thinner is the cause of the success.	Since the complication did not occur, I can only speculate that the blood thinners had any bearing on them not slipping into a coma after surgery.	11	11	6	1	36	1	-99	819
732	strong	attack_first	1	1	2	1	4	using the blood thinner reduces the chances of falling into a coma, in group A 25% of patients had problems but because of the thinning agent, did not fall into a coma, of group B 25% did fall into a coma having not had the thinning agent.	patient 55 was one of the 75% that doesn't have any reaction to the surgery and survived with no problems at all.	7	4	9	1	60	1	none, all was good	1498
742	strong	attack_first	1	1	2	1	1	i don't think i have enough information to say whether the thinner stopped the coma from happening or not	i don't have enough information to make a decision one way or the other	11	6	6	1	28	1	-99	354
753	strong	attack_first	1	1	2	1	11	Nobody on the infographic on the left side fell into coma. I feel that the odds of this being due to the blood thinner are very high.	As this person didn't have any complications, I can't be certain that they didn't fall into a coma because of the blood thinner or because they were healthier than the patients who did have complications.	11	11	6	1	34	2	None.	490
759	strong	attack_first	1	1	2	1	4	Because all other patients experiencing complications without having taken the blood thinner lapsed into a coma.	This patient avoided falling into a permanent coma because the surgeon did not accidentally block a specific artery, however equally, had this occurred, the efficacy of the blood thinner would have also prevented this.	11	11	6	1	47	1	-99	1018
366	weak	attack_first	1	1	2	1	7	In Clinic B some patients who had the complication occur did not lapse into coma. This indicates there is a chance that the complication will not result in coma, so it cannot be said for certain if the blood thinners prevented coma when the complication occurs.	There is a similar incidence of complications between Clinic A and B, indicating that the blood thinner does not affect whether the complication occurs. The lack of complication in patient 55 (and subsequent lack of coma) cannot be said to be caused by the blood thinner.	10	7	2	1	26	2	-99	1003
371	weak	attack_first	1	1	2	1	7	slightly more than 50:50 because some people from the control also had the same result but also the group who did recieve none of them went on to have a coma	no complication occured so it wasnt down to the blood thinner	10	8	2	1	29	2	none	921
374	weak	attack_first	1	1	2	1	9	None of the patients on the blood thinner fell into comas, while comas were relatively common on the placebo side.	The trial is not to determine why patients with positive results have positive results.	11	10	6	1	30	2	-99	453
384	weak	attack_first	1	1	2	1	7	Highly likely from results that it was a result of blood thinner but cannot be 100% without knowing other factors	Likely it was because a complication didnt occur	9	8	4	1	27	2	-99	381
397	weak	attack_first	1	1	2	1	9	It seems that the blood thinner does have efficacy in preventing coma. It is hard to judge exactly as it wasn't clear what the previous breakdown of coma/non-coma was. However, given the spread of other people in Clinic A in a similar position and the clear difference with the results from Clinic B, it seems logical that the difference is the blood thinner.	It is less clear whether the blood thinner was the preventative cause, here. There are still a large number of people from Clinic A for whom the complication occurred, therefore, it seems less likely that the blood thinner prevented the condition itself, rather than preventing the complication turning into a coma.	8	9	6	1	53	1	n/a	730
404	weak	attack_first	1	1	2	1	4	There seems to be a clear link between taking the blood thinner and patient not falling into a coma after complications.	There might not have been an issue if the patient had not taken the blood thinner. We need more data and background checks to see if the blood thinner was the main factor.	10	9	6	1	32	1	-99	456
419	weak	attack_first	1	1	2	1	8	As is demonstrated by the panel on the left, all patients that have the complication and no blood thinner lapse into a coma. Therefore it is the blood thinner that stops them falling into a coma.	The complication did not occur so the blood thinner was irrelevant	9	10	1	1	30	2	-99	883
430	weak	attack_first	1	1	2	1	5	All 120 who took the blood thinner prior did not go into a coma, so can be confident that is the reason why.	Of all the 120 who took the thinner none fell into a coma unlike using the placebo. So thats why i am confident the blood thinner prevented it.	11	11	11	1	37	2	none	607
434	weak	attack_first	1	1	2	1	8	The patient 53 was treated with the blood thinner prior to the operation. The complication did occur and he did not lapse into a coma. I conclude that it is likely the thinner prevented him from lapsing into the coma, as trials have shown that patients who received the blood thinner are more likely to survive the procedure.	Though patient 55 did receive the blood thinner, there were no complications and he did not lapse into a coma. It is uncertain that the thinner prevented the patient from lapsing into a coma, though it is equally possible that it did have an effect at preventing a lapse.	11	10	6	1	62	1	-99	2345
438	weak	attack_first	1	1	2	1	5	If you contrast the data from those who received the blood thinner and those that had the placebo you can see asimilar amounts of complications but a significant decline in comas occuring so i can be somewhat confident that he avoided the coma due to the thinner but cant be certain as some placebos had a similar experience to them	It wasnt due to the blood thinner because the complication didnt occur.	9	8	4	1	18	1	-99	757
450	weak	attack_first	1	1	2	1	8	The control group shows that some patients who experience the complication will not fall into a coma. So patient 53 MIGHT have not fallen into a coma without the blood thinner. However, it is likely that he would have fallen into a coma without it.	The frequency of the complication doesn't seem to be affected by the blood thinner (it seems to affect whether the complication leads to a coma or not). So it seems unlikely that the patient would have suffered the complication (and thus risk of coma) with or without the blood thinner.	11	8	3	1	28	2	-99	588
454	weak	attack_first	1	1	2	1	7	120 patients, 60 got the complication so 50/50 chance.	120 participants - 60 were fine. 50/50 chance	7	6	6	1	25	2	-99	892
456	weak	attack_first	1	1	2	1	4	25% of patients who received the placebo went into a coma, as compared to 0% of the patients who received the blood thinner.  Therefore I chose a point in the scale equivalent to around 25%.	I am going by the same theory as the previous scenario.  25% of patients on the placebo went into a coma. 60% of the patients who received the placebo did not suffer any complication, like patient 55.	11	4	4	1	50	2	-99	926
458	weak	attack_first	1	1	2	1	8	Some patients who did not receive the blood thinner and experienced the complication did not lapse into a coma, meaning that it you can't say for certain that the patient was saved by the blood thinner. However, the blood thinner has made it more likely that they would survive the complication.	There are no cases where the complication didn't occur but the patient lapsed into a coma, and the rate of the complication occurring was unchanged by the blood thinner. Because this patient did not experience the complication, then it was the blood thinner had no impact on them falling into a coma.	11	8	1	1	24	1	-99	585
467	weak	attack_first	1	1	2	1	5	I think it is because he took the blood thinner	Yes i think it was because they took the blood thinner	11	10	10	1	54	2	-99	768
474	weak	attack_first	1	1	2	1	8	no one fell into a coma who had blood thinners so they do play a part in preventing a coma.	the blood thinners are proven to prevent a coma from occuring since no one fell into a coma who had blood thinner but those who had the placebo did.	11	9	9	1	18	2	n/a	490
483	weak	attack_first	1	1	2	1	9	It shows that when a patient uses blood thinner there are relatively low chances of them to go into a permanent coma.	Getting a blood thinner kinda prevents patients to get into comas	9	10	9	1	28	1	Everything was good.	1291
488	weak	attack_first	1	1	2	1	8	some patients that received the placebo had the complication but didn't fall into a coma, but not many.   The number of patients that got the blood thinner and had the complication without the coma was far greater.   This would mean that it is likely that the drug has an effect on the out come but it is not definite proof that it is responsible.	as the complication occurs due to human error, there is a 50/50 chance that it might happen.  As the complication did not occur, it is impossible to say that the blood thinner was responsible for the success.	8	8	1	1	49	1	-99	1548
491	weak	attack_first	1	1	2	1	10	From the data gathered by the study we see a total avoidance of comas among patients who fall into a coma. It very strongly suggests that the use of a blood thinner helps eliminate the risk of coma among those who suffer the complication during surgury.	Since the usual cause of coma after this surgery is the artery-blocking complication and this patient wasn't affected by that, it's unlikely that the use of blood thinners was related to his successful outcome.	10	10	3	1	35	2	-99	495
494	weak	attack_first	1	1	2	1	7	100% of patients who received the blood thinner and had complications did not lapse into a coma as a result.	50 % of the patients who received the blood thinner still had complications during surgery, although they did not fall into a coma as a result. Patient 55 did not have any complications during surgery.	11	11	6	1	47	1	-99	1215
507	weak	attack_first	1	1	2	1	6	According to thoe results from those who took the placebo, only 50% of those who had complications fell into a coma so it could be that Patient 53 would have been one of those who naturally wouldn't have fallen into the coma but equally it could be the blood thinner that prevented this.	According to the results of those who had the placebo, only the people who had complications fell into a coma. Patient 55 didn't have complications so it is more likely that the skill of the surgeon that prevented the patient from doing so.	10	6	1	1	62	1	No, all was good	989
522	weak	attack_first	1	1	2	1	9	I would not like to be 100% sure because I think more people need to be tested. I am actually not 100% sure that the complication the patient had could have led to a coma but I think based on clinic B it seems most complications lead to a coma which is why I leaned towards yes for this question.	I think it is a combination of the fact that the patient did not have a complication and received the blood thinner.	10	10	6	1	31	2	-99	952
526	weak	attack_first	1	1	2	1	3	Because none of the patients in this group lapsed into a coma compared to 25% in the other group so I think it's very likely this was because of the blood thinner	The same reason as before although I think the chances are reduced as the complication didn't occur anyway.	11	10	8	1	57	2	None	772
537	weak	attack_first	1	1	2	1	10	In comparison with the placebo group where everyone that had a complication died, this blood thinners taken in patient 53's group obviously made a difference. THere were complications yet no one died	The complication which creates a need for the blood thinner did not happen in this case. Patient 55 would have lived even in the placebo group as there was no complication during their surgery	10	10	1	1	28	2	-99	879
545	weak	attack_first	1	1	2	1	6	No patients in the group fell in to a permanent coma after the thinner compared to the many the didn't have the thinner so the thinner looks effective in it's prevention.	There are other factors, was the patient generally healthier than others before?	10	9	8	1	37	2	n/a	486
554	weak	attack_first	1	1	2	1	7	Based on the previous slide, it's likely that the blood thinner reduced risk of falling into a permanent coma - but there are other factors at play (e.g. the patient's holistic health etc), so I can't be totally confident.	I don't know, because the complication didn't occur.	11	9	6	1	31	2	No technical issues!	563
556	weak	attack_first	1	1	2	1	8	Patient 53 is shown to have been given the blood thinner and although there was a complication the patient did not lapse into a coma. This would suggest that it was because of the blood thinner that no coma happened therfore I opted for the 100% response that it was because of the thinner.	Don't think it is certain this time. Perhaps without the thinner the patient would have experienced no problems anyway. I have opted for 50/50 as I don't think we can prove it was because of the thinner as there were no complications with the surgery	11	11	6	1	52	1	-99	946
561	weak	attack_first	1	1	2	1	6	none of the cohort who received the blood thinner ended up in a coma even if a complication occurred, therefore the blood thinner 100% prevents coma even if there are complications during surgery	The reason why he did not lapse into a coma was because the complication did not occur	11	11	1	1	53	2	-99	882
569	weak	attack_first	1	1	2	1	9	Based on the evidence it would suggest that the blood thinner prevents patients going into a coma, however it has been proved in the other study that patients who have complications do not go into a coma therefore I can not be 100% certain that the blood thinner prevented the coma.	People with no complications during surgery do not fall into comas therefore the blood thinner had no bearing.	11	9	1	1	42	2	NA	434
587	weak	attack_first	1	1	2	1	6	Some of the patients in the placebo group had the complication during their surgery and didn't lapse into a coma, showing that it is possible for coma to be avoided in some cases when the complication occurs and the patient hasn't taken the drug. It is possible that the drug prevented coma in this patient, but I think it is equally possible that coma was avoided due to some other factor unrelated to the blood thinner.	The information provided earlier in the study stated that the coma usually occurs when the complication occurs during their surgery. This patient didn't have the complication, so the risk factor the blood thinner protects against wasn't present and therefore wasn't avoided due to them taking the drug.	11	6	1	1	32	2	-99	640
596	weak	attack_first	1	1	2	1	8	Because from the result shown in the pictures above all who received the blood thinner before the surgery did not fall into comma.	there was no complication yes probably due to the blood thinner he received before surgery but I am not 100 percent sure about it	11	11	9	1	28	2	n/a	1117
598	weak	attack_first	1	1	2	1	6	The patient was just as likely to experience the complication during surgery, however they were 50% less likely to fall into a coma due to the blood thinner.	0% of patients receiving the blood thinner, fell into a coma.	11	6	11	1	36	1	Slight lag	959
636	weak	attack_first	1	1	2	1	8	Looking at all the results of group A shows me that the blood thinner works to prevent permanent Coma, The complications happened but they never went in to coma	Not sure 100% sure if it was the blood thinner because there was no complications during the operation	11	11	8	1	50	1	-99	1165
645	weak	attack_first	1	1	2	1	7	Nobody in the trial who experienced the complication lapsed into a coma.	They might have been fine otherwise due to the fact that the complication didn't occur.	10	10	7	1	40	2	-99	666
665	weak	attack_first	1	1	2	1	8	Because there is a chance that they would have not gotten a coma anyways (looking at the non blood thinner group) but every single person (regardless of having a complication) didn't have a coma so I think think the blood thinner helped	Most patients don't go into a coma so in his case I think it's half and half	10	8	6	1	19	2	-99	2275
670	weak	attack_first	1	1	2	1	3	I am confident in this decision as the ones who did take a blood thinner; none of them fell into a coma despite the complication occurring. The ones who took a placebo, a lot of the patients fell into a coma when this complication happened.	It is truly hard to say whether the blood thinner prevented this, but those who took a placebo had more chance of falling into a coma so I feel more confident that this was due to the blood thinner.	9	9	8	1	23	2	-99	475
671	weak	attack_first	1	1	2	1	8	It seems odds are higher that if you have the blood thinner, that they do not lapse into a coma as those who had the thinner had no complications or if they did they did not end up in a coma like the people with the placebo	Again it seems the blood thinner prevents the coma stage and also reduces the danger of lapsing into a coma	6	10	10	1	56	2	-99	747
690	weak	attack_first	1	1	2	1	10	There is a possibility that the if the patient hadn't had the blood thinner he would have lapsed into a coma but not necessarily as there were other patients who had the complications, didn't have blood thinner and didn't lapse into a coma	Because the blood thinner has a potential impact on individuals possibility of lapsing into a coma if they have the complication. It is associated with that relationship not any others therefore the blood thinner would not have much influence on this patient as they didn't have the complication	9	9	2	1	22	2	-99	678
692	weak	attack_first	1	1	2	1	5	I think it is pretty certain but nothing can be 100% certain - I think the chance of it being certain is high though because of the unbiased nature of the study	I'm not sure because the complication did not happen and they did not fall into a coma	11	9	6	1	29	2	-99	487
695	weak	attack_first	1	1	2	1	5	They were part of the bigger group of whom had taken the blood thinner and results were more positive.  The majority of the people either had no complications but the ones who did did not lapse into a coma.	This person was part of the bigger group who did not lapse into a coma.	8	8	9	1	47	2	-99	1520
701	weak	attack_first	1	1	2	1	7	There was a chance that the patient wouldnt have lapsed into a coma without the thinner. This chance is greatly increased with the use of the blood thinner but cannot say its perfect as it should still be a chance outcome	None of the patients who had the placebo and had no complications lapsed into a coma so it cannot be said that the thinner had any effect	11	8	1	1	51	1	-99	965
706	weak	attack_first	1	1	2	1	8	patients who didnt receive blood thinner were more likely to fall into permanent coma	patients who receive placebo were more likely to fall into coma	8	8	7	1	24	2	-99	1028
721	weak	attack_first	1	1	2	1	6	From the results displayed it is around a 50:50 split between people that fall into a permanent coma. Whilst the blood thinner improves the chances it is only around a 50% change	The blood thinner has helped and the surgeon has also avoided damaging an artery	6	6	9	1	33	1	-99	624
733	weak	attack_first	1	1	2	1	3	Although there's still a slim chance for the patient to not fall into a coma when the complication occurs after not having received the thinner, they will always not go into a coma after receiving the thinner.	Theres not much of a way to know since the complication didn't occur	11	9	6	1	20	1	-99	334
734	weak	attack_first	1	1	2	1	5	In the placebo set of data, when the complication occurs, patients fall into a coma more often than not. This didn't happen at all in the first set of data, therefore the blood thinner was likely to have had an effect and prevented the coma with the patient. However it's not certain as there were several that received the placebo, had the complication but did not fall into a coma.	It probably wasn't because of the blood thinner, because the complication did not occur, it was much less likely that the patient would fall into a coma. However there were patients that received the placebo who fell into a coma without having had the complication, so it could have been preventative.	10	8	5	1	26	2	n/a	836
743	weak	attack_first	1	1	2	1	5	Because of the patient is marked with a green dot surrounded by a red circle and was in the blood thinner group	green dot and in blood thinner group	11	11	11	1	50	1	none	665
745	weak	attack_first	1	1	2	1	10	It seems like the blood thinner is very effective at preventing the coma but sometimes people will have a complication and still not have a coma after.	There was no complication so the blood thinner had no effect	10	8	1	1	21	1	-99	413
