"run_id"	"condition_1"	"desktop_conf"	"attent_conf"	"sat_selection_upper_demo"	"sat_selection_lower_demo"	"test_case"	"first_preventer"	"sat_selection_test"	"explanation"	"preventers_check"	"age"	"gender"	"recorded_at"	"demo_correct"	"prev_correct"	"main_dv"
12	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"the bottom one sent the detection that made the cannon fire destroying the astorid."	"The lower satellite spotted the asteroid first."	45	"1: male"	2022-02-14 09:53:35	"correct"	"correct"	2
13	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"I believe that both satellites helped to destroy the asteroid. I believe that because both satellites sent a signal, the laser more accurately targeted the asteroid."	"The lower satellite spotted the asteroid first."	22	"1: male"	2022-02-14 09:53:47	"correct"	"correct"	3
18	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"the upper satellite sent the signal to the moon and the laser beam shot at the astaroid"	"The upper satellite spotted the asteroid first."	32	"2: female"	2022-02-14 09:53:49	"correct"	"correct"	1
19	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"it was the laser beam from the upper satellite that prevented the asteroid destroying the moon"	"The upper satellite spotted the asteroid first."	18	"2: female"	2022-02-14 09:53:51	"correct"	"correct"	1
20	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"When both satellites are sending signals the prevention is more powerful/stronger than when only one sends a signal. It destroys it quicker and stronger."	"The upper satellite spotted the asteroid first."	38	"2: female"	2022-02-14 09:53:54	"correct"	"correct"	3
21	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"the lower satalite had detected the astorid and the laser beam from the moon had already been activated before the upper satalite had detcted the astoriod"	"The lower satellite spotted the asteroid first."	37	"2: female"	2022-02-14 09:53:57	"correct"	"correct"	2
22	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"Both of the satellite detected the approaching asteroid and were able to send the signal to the cannon."	"The lower satellite spotted the asteroid first."	21	"2: female"	2022-02-14 09:54:07	"correct"	"correct"	3
23	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"on watching the animation, I saw the the top detection satellite send the signal to the laser."	"The upper satellite spotted the asteroid first."	38	"2: female"	2022-02-14 09:54:20	"correct"	"correct"	1
24	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"SIGNALS WERE RECEIVED FROM BOTH SATELLITES AND THEN THE LASER WAS SHOT"	"The upper satellite spotted the asteroid first."	28	"2: female"	2022-02-14 10:01:20	"correct"	"correct"	3
25	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"The laser shot after the the lower satellite was triggered. It's likely that both would need to be triggered to determine whether or not the asteroid was heading towards the moon as opposed to going above the upper one, which may also trigger it."	"The upper satellite spotted the asteroid first."	25	"2: female"	2022-02-14 13:25:34	"correct"	"correct"	3
26	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"The upper satellite detected the object before the lower satellite. It was therefore the upper satellites signal which stopped the asteroid."	"The upper satellite spotted the asteroid first."	30	"1: male"	2022-02-14 13:25:34	"correct"	"correct"	1
28	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"The lower satellite got alerted first and sent a signal to the cannon resulting in the cannon firing a missile on the asteroid"	"The lower satellite spotted the asteroid first."	42	"1: male"	2022-02-14 13:25:36	"correct"	"correct"	2
29	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both of them shot the lazer"	"The upper satellite spotted the asteroid first."	26	"2: female"	2022-02-14 13:25:37	"correct"	"correct"	3
30	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"The lower satellite activated the laser first. The laser started to send a ray to destroy the asteroid at around the same time as the upper satellite sent it's warning signal. Therefore the lower satellite was the one in this situation that activated the laser and saved the moon."	"The lower satellite spotted the asteroid first."	52	"2: female"	2022-02-14 13:25:38	"correct"	"correct"	2
31	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"the second laser was no needed since the first laser destroyed the asteroid"	"The upper satellite spotted the asteroid first."	37	"2: female"	2022-02-14 13:25:41	"correct"	"correct"	1
32	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"The lower satelite detected the object first and alerted the canon but no fire was shot until the upper satelite alerted the canon .In my opinion both satelites have to give alert signal to enable the canon to shoot"	"The lower satellite spotted the asteroid first."	49	"2: female"	2022-02-14 13:25:42	"correct"	"correct"	3
34	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"Because both upper and lower Satellite  were activated and both shoot a warning signal to the cannon which released a laser beam that destroyed the Asteroid from the moon"	"The lower satellite spotted the asteroid first."	26	"2: female"	2022-02-14 13:27:24	"correct"	"correct"	3
36	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"Both the satellite signals simultaneously to the cannon and the asteroid is destroyed before hitting the moon."	"The lower satellite spotted the asteroid first."	44	"2: female"	2022-02-14 13:30:58	"correct"	"correct"	3
38	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"The first Satellite scans and reports to the moon, second satellite scans and then reports back to the Moon.  The moon then takes action to blast the asteroid"	"The lower satellite spotted the asteroid first."	44	"1: male"	2022-02-14 13:31:02	"correct"	"correct"	3
39	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both satellites sent the message before the cannon shot the laser. If the laser was shot before the lower satellites message was received, I would have selected the upper satellite preventing the asteroid."	"The upper satellite spotted the asteroid first."	31	"2: female"	2022-02-14 13:31:03	"correct"	"correct"	3
40	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"Because that's what happened in the movie. Both satellites sent a signal."	"The lower satellite spotted the asteroid first."	33	"1: male"	2022-02-14 13:31:10	"correct"	"correct"	3
41	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"The lower satellite detected the asteroid a decent amount of time earlier before the upper and sent the message first making it the one responsible for the cannon's firing"	"The lower satellite spotted the asteroid first."	34	"1: male"	2022-02-14 13:31:13	"correct"	"correct"	2
43	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"For the last assessment I selected that they both helped notify the laser because both satellites sent signals."	"The upper satellite spotted the asteroid first."	36	"2: female"	2022-02-14 13:31:22	"correct"	"correct"	3
44	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"both satellites sent signals to the moon that the asteroid was approaching"	"The upper satellite spotted the asteroid first."	26	"2: female"	2022-02-14 13:31:53	"correct"	"correct"	3
46	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both satellites sent signals"	"The upper satellite spotted the asteroid first."	30	"2: female"	2022-02-14 13:33:23	"correct"	"correct"	3
47	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"As the lower satellite detected the asteroid first, it seemed like that activated the laser. If the lower satellite had not detected the asteroid, it's possible that the upper satellite could also have prevented the asteroid from destroying the moon, but the delay could also have meant that the laser was sent out too late. For this reason I was more confident that the lower satellite was responsible for destroying the asteroid."	"The lower satellite spotted the asteroid first."	29	"2: female"	2022-02-14 13:34:58	"correct"	"correct"	2
48	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"it was marginal as the laser seemed to fire before the signal was received from the upper satellite, but the system as a whole prevented the asteroid from hitting the moon"	"The lower satellite spotted the asteroid first."	42	"1: male"	2022-02-14 13:36:14	"correct"	"correct"	3
49	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"Even though both sats reacted to the asteriod, the lower one responded first, and triggered the laser that resulted in the explosion."	"The lower satellite spotted the asteroid first."	67	"2: female"	2022-02-14 13:43:23	"correct"	"correct"	2
50	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both of the satellites sensed the asteroid and they both sent the signal to the moon which shot the asteroid and destroyed it before it could harm the moon."	"The upper satellite spotted the asteroid first."	19	"2: female"	2022-02-14 13:43:24	"correct"	"correct"	3
52	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"The lower satellite did also detect the asteroid, but the upper satellite had already sent the signal by then and the laser had already been activated, so the lower satellite didn't have any role as it made no difference to the outcome"	"The upper satellite spotted the asteroid first."	38	"2: female"	2022-02-14 13:43:27	"correct"	"correct"	1
53	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"I decided that both satellites contributed to the asteroid being hit, although one of them sent the signal quicker the laser wasn't fired until both satellites hit, so there's no way I can say for sure which one contributed to it being hit, its safer to assume the first one released, but I don't know that for certain."	"The lower satellite spotted the asteroid first."	24	"2: female"	2022-02-14 13:43:30	"correct"	"correct"	3
54	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both satelites provided a signal to the laser cannon to ensure the asteroid was destroyed"	"The upper satellite spotted the asteroid first."	32	"1: male"	2022-02-14 13:43:31	"correct"	"correct"	3
55	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"the signal of the upper satellite was faster in reaching the moon cannon"	"The upper satellite spotted the asteroid first."	19	"2: female"	2022-02-14 13:43:37	"correct"	"correct"	1
56	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"The lower satellite was the first to respond, and thus the first to cause the laser system to activate and destroy the asteroid. By the time the upper satellite activated, the process was already underway to destroy the intruding asteroid, thanks to the lower satellite activating first."	"The lower satellite spotted the asteroid first."	41	"1: male"	2022-02-14 13:43:37	"correct"	"correct"	2
57	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"Both detected the danger and send the signal. making it more sure that there was a danger."	"The lower satellite spotted the asteroid first."	28	"1: male"	2022-02-14 13:43:40	"correct"	"correct"	3
58	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"the lower detector sent a beam first to the moon receiver which then activated the laser, even though the upper detector spotted it too and also sent notification the laser was already activated and destroyed the asteroid"	"The lower satellite spotted the asteroid first."	68	"2: female"	2022-02-14 13:43:59	"correct"	"correct"	2
60	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both satellites are an integral part of the protection system. Simply because one of them sent their signal earlier doesn't negate the fact that both are involved."	"The upper satellite spotted the asteroid first."	57	"1: male"	2022-02-14 14:00:39	"correct"	"correct"	3
61	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"The lower satellite prevented the asteroid from hitting the moon."	"Because it didnt do anything when the top one tried to stop it"	"The upper satellite spotted the asteroid first."	22	"1: male"	2022-02-14 14:00:40	"correct"	"correct"	2
62	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"although the lower satellite detected the asteroid first, the upper satellite also sent a signal ensuring that the asteroid would be detected even if a satellite failed"	"The lower satellite spotted the asteroid first."	45	"2: female"	2022-02-14 14:00:41	"correct"	"correct"	3
63	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"The detonation by the moon cannon was acitated by the top satelite. Even the the bottom satelite also sent a message this was after the top satelite had already sent its message and the cannon was already in operation.The message from the bottom satelite did not stop the actions that were already taking place"	"The upper satellite spotted the asteroid first."	52	"2: female"	2022-02-14 14:00:43	"correct"	"correct"	1
65	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"Because the lower satellite sent its signal first"	"The lower satellite spotted the asteroid first."	44	"2: female"	2022-02-14 14:00:45	"correct"	"correct"	2
